paper_id,author,title,year,journal,volume,issue,pages,notes
219,Rodriguez-Echeverria et al,Jack-of-all-trades and master of many? How does associated rhizobial diversity influence the colonization success of Australian Acacia species?,2011,Diversity and Distributions,17,,946-957,
220,Rodriguez-Echeverria et al,Genetic diversity of root nodulating bacteria associated with Retama sphaerocarpa in sites with different soil and environmental conditions,2014,Systematic and Applied Microbiology,37,,305-310,
221,Romdhane et al,Diversity of Acacia tortilis rhizobia revealed by PCR/RFLP on crushed root nodules in Tunisia,2005,Annals of Microbiology,55,4,249-258,
222,Romdhane et al,Genetic diversity of Acacia tortilis ssp. Raddiana rhizboia in Tunisia assessed by 16S and 16S-23S rDNA genes analysis,2006,Journal of Applied Microbiology,100,,436-445,
223,Rome et al,Evidence that two genomic species of Rhizobium are associated with Medicago truncatula,1996,Archives of Microbiology,165,,285-288,
224,Ruiz-Diez et al,"Stress tolerance, genetic analysis and symbiotic properties of root-nodulating bacteria isolated from Mediterranean leguminous shrubs in Central Spain",2009,Archives of Microbiology,191,,35-46,
225,Sajnaga et al,The root-nodule symbiosis between Sarothamnus scoparius L. and its microsymbionts,2001,Antonie van Leeuwenhoek,79,,385-391,
226,Samba et al,Diversity of rhizobia nodulating Crotalaria spp. from Senegal,1999,Symbiosis,27,,259-268,
227,Sanchez-Canizares et al,Endosymbiotic bacteria nodulating a new endemic lupine Lupinus mariae-josephi from alkaline soils in Eastern Spain represent a new lineage within the Bradyrhizobium genus,2011,Systematic and Applied Microbiology,34,,207-215,from conference not publication
228,Sarr et al,Rhizobial populations in soils from natural Acacia senegal and Acacia nilotica forests in Mauritania and the Senegal River Valley,2005,Microbial Ecology,50,2,152-162,
229,Sene et al,The abundance and diversity of legume-nodulating rhizobia and arbuscular mycorrhizal fungal communities in soil samples from deforested and man-made forest systems in a semiarid Sahel region in Senegal,2012,European Jouran of Soil Biology,52,,30-40,
230,Sene et al,"The abundance and diversity of legume-nodulating rhizobia in 28-year-old plantations of tropical, subtropical, and exotic tree species: a case study from the forest reserve of Bandia, Senegal",2013,Microbial Ecology,65,,128-144,
231,Sharma et al,Diversity in a promiscuous group of rhizobia from three Sesbania spp/ colonizing ecologically distinct habitats of the semi-arid Delhi region,2005,Research in Microbiology,156,,57-67,
232,Shen et al,"Rhizobium kunmingense sp. Nov., isolated from rhizobphere soil of Camptotheca acuminata Decne",2010,Journal of General and Applied Microbiology,56,,143-149,
233,Sheu et al,"Burholderia symbiotica sp. Nov., isolated from root nodules of Mimosa spp. Native to north-east Brazil",2012,International Journal of Systematic and Evolutionary Microbiology,62,,2272-2278,
234,Sheu et al,"Burkholderia diazotrophica sp. Nov., isolated from root nodules of Mimosa spp.",2013,International Journal of Systematic and Evolutionary Microbiology,63,,435-441,
235,Shiraishi et al,Nodulation in black locust by the Gammaproteobacteria Pseudomonas sp. And the Betaproteobacteria Burkolderia sp.,2010,Systematic and Applied Microbiology,33,,269-274,
236,Shiraishi et al,Genetic diversity and spatial distribution of rhizobial bacteria nodulating on black locust (Robinia pseudocacia) rhizospheres,2011,Soil Science and Plant Nutrition,57,,765-774,
237,Squartini et al,"Rhizobium sullae sp. Nov. (formerly 'Rhizobium hedysari'), the root-nodule microsymbiont of Hedysarum coronarium L.",2002,International Journal of Systematic and Evolutionary Microbiology,52,,1267-1276,
238,Stepkowski et al,Diversification of Lupine Bradyrhizobium strains: evidence from nodulation gene trees,2007,Applied and Environmental Microbiology,73,10,3254-3264,
239,Stepkowski et al,Bradyrhizobium canariense and Bradyrhizobium japonicum are the two dominant rhizobium species in root nodules of lupin and serradella plants growing in Europe,2011,Systematic and Applied Microbiology,34,,368-375,
240,Stepkowski et al,Distinct Bradyrhizobia communities nodulate legumes native to temperate and tropic monsoon Australia,2012,Molecular Phylogenetics and Evolution,63,,265-277,
241,Sterner and Parker,Diversity and relationships of bradyrhizobia from Amphicarpaea bracteata based on partial nod and ribosomal sequences,1999,Systematic and Applied Microbiology,22,,387-392,
242,Stroschein et al,Symbiotic efficiency and genetic characteristics of Bradyrhizobium sp. Strain UFSM LA 1.3 isolated from Lupinus albescens (H. et arn),2010,Sci. Agric.,67,6,702-706,
243,Tang et al,"16S rRNA characterisation of bacterial isolates from Carmichaelia australis and C. corrugata, New Zealand native legumes and assessment of their ability to produce functional nodules on five Carmichaelia species",2009,Aspects of Applied Biology,98,,203-206,
244,Taule et al,New betaproteobacterial rhizobium strains able to effciently nodulate Parapiptadenia rigida (Benth.) Brenan,2012,Applied and Environmental Microbiology,78,6,1692-1700,
245,Sylla et al,Phenotypic and genotypic diversity of rhizobia nodulating Pterocarpus ernaceus and P. lucens in Senegal,2002,Systematic and Applied Microbiology,25,,572-583,
246,Tan et al,"Rhizobium yanglingense sp. Nov., isolated from arid and semi-arid regions in China",2001,International Journal of Systematic and Evolutionary Microbiology,51,,909-914,
247,Teiceira et al,Characterization of indigenous rhizobia from caatinga,2010,Brazilian Journal of Microbiology,41,,201-208,
248,Trujillo et al,Nodulation of Lupinus albus by strains of Ochrobactrum lupini sp. Nov.,2005,Applied and Environmental Microbiology,71,3,1318-1327,
249,Terefework et al,AFLP fingerprinting as a tool to study the genetic diversity of Rhizobium galegae isolated from Galega orientalis and Galega officinalis,2001,Journal of Biotechnology,91,,169-180,
250,Tan et al,"Rhizobia with 16S rRNA and nifH similar to Mesorhizobium huakuii but novel recA, glnII, nodA, and nodC genes are symbionts of New Zealand Carmichaelinae",2012,PLoS ONE,7,10,e47677-e47677,
251,Valverde et al,"Paenibacillus prosopidis sp. Nov., isolated from the nodules of Prosopis farcta",2010,International Journal of Systematic and Evolutionary Microbiology,60,,2182-2186,
252,Toledo et al,"Sinorhizobium americanus sp. Nov., a new Sinorhizobium species nodulating native Acacia spp. In Mexico",2003,Systematic and Applied Microbiology,26,,54-64,
253,Vandamme et al,Burkholderia tuberum sp. Nov. and Burkholderia phymatum sp. Nov. nodulate the roots of tropical legumes,2002,Systematic and Applied Microbiology,25,,507-512,
254,Ulrich and Zaspel,Phylogenetic diversity of rhizobial strains nodulating Robinia speudoacacia L. ,2000,Microbiology,146,,2997-3005,
255,Sullivan et al,Four unnamed species of nonsymbiotic rhizobia isolated from the rhizosphere of Lotus corniculatus,1996,Applied and Environmental Microbiology,62,8,2818-2825,
256,Nick et al,"Sinorhizobium arboris sp. Nov. and Sinorhizobium kostiense sp. Nov., isolated from leguminous trees in Sudan and Kenya",1999,International Journal of Systematic Bacteriology,49,,1359-1368,
257,Tan et al,Characterization of bacteria isolated from wild legumes in the north-western regions of China,1999,International Journal of Systematic Bacteriology,49,,1457-1469,
258,Tondello et al,Identification of the root nodule symbiont of the rare legume species Hedysarum confertum Desf. (Hedysarum humile L.) in its Italian relictual site,2011,Plant Biosystems,145,4,901-905,
259,Parker et al,Nodule symbiosis of invasive Mimosa pigra in Australia and in ancestral habitats: a comparative analysis,2007,Biological Invasions,9,,127-138,
260,Parker,"Bradyrhizobia from wild Phaseolus, Desmodium and Macroptilium species in northern Mexico",2002,Applied and Environmental Microbiology,68,4,2044-2048,
261,Vidal et al,"Mesorhizobium metallidurns sp. Nov., a metal-resistant symbiont of Anthyllis vulneraria growing on metallicolous soil in Languedoc, France",2009,International Journal of Systematic and Evolutionary Microbiology,59,,850-855,
262,van Berkum et al,Chromosomal and symbiotic relationships of rhizobia nodulating Medicago truncatula and M. laciniata,2007,Applied and Environmental Microbiology,73,23,7597-7604,
263,Vineusa et al,"Genoytpic characterization of Bradyrhizobium strains nodulating endemic woody legumes of the Canary Islands by PCR-restriction fragment length polymorphism analysis of genes encoding 16S rRNA (16S rDNA) and 16S-23S rDNA intergeneic spacers, repetitive extragenic palindromic PCR genomic fingerprinting and partial 16S rDNA sequencing",1998,Applied and Environmental Microbiology,64,6,2096-2104,
264,Villegas et al,Nitrogen-fixing sinorhizobia with Medicago laciniata constitute a novel biovar (bv. Medicaginis) of S. Meliloti,2006,Systematic and Applied Microbiology,29,,526-538,
265,Wang et al,"Rhizobium huautlense sp. Nov., a symbiont of Sesbania herbacea that has a close phylogenetic relationship with Rhizobium galegae",1998,International Journal of Systematic Bacteriology,48,,687-699,
266,Wang et al,Diversity of rhizobia associated with Amorpha fruticosa isolated from Chinese soils and description of Mesorhizobium amorphae sp. Nov. ,1999,International Journal of Systematic Bacteriology,49,,51-65,
267,Wang and Martinez-Romero,Sesbania herbacea-Rhizobium huautlense nodulation in flooded soils and comparative characterization of S. herbacea-nodulating rhizobia in different environments,2000,Microbial Ecology,41,,25-32,
268,Wang et al,Genetic diversity of rhizobia from Leucaena leucocephala nodules in Mexican soils,1999,Microbial Ecology,8,,711-724,
269,Wang et al,"Mesorhizobium albiziae sp. Nov., a novel bacterium that nodulates Albizia kalkora in a subtropical region of China",2007,International Journal of Systematic and Evolutionary Microbiology,57,,1192-1199,
270,Wang et al,Characterization of rhizobia isolated from Albizia spp. In comparison with microsymbionts of Acacia spp. And Leucaena leucocephala grown in China,2006,Systematic and Applied Microbiology,29,,502-517,
271,Wang et al,"Rhizobium elti bv. Mimosae, a novel biovar isolated from Mimosa affinis",1999,International Journal of Systematic Bacteriology,49,,1479-1491,
272,Wang et al,Diverse endophytic bacteria isolated from a leguminous tree Conzattia multiflora grown in Mexico,2006,Archives of Microbiology,186,,251-259,
273,Wang et al,"Mesorhizobium amorpha, a rhizobial species that nodulates Amorpha fruticosa, is native to American  soils",2002,Archives of Microbiology,178,,301-305,
274,Wdowiak-Wrobel and Malek,Genomic diversity of Astragalus cicer microsymbionts revealved by AFLP fingerprinting,2005,Journal of General and Applied Microbiology,51,,369-378,
275,Wei et al,A new clade of Mesohrizobium nodulating Alhagi sparsifolia,2009,Systematic and Applied Microbiology,32,,16-Aug,
276,Wei et al,"Phenotypic and genetic diversity of rhizobia isolated from nodules of the legume genera Astragalus, Lespedeza and Hedysarum in northwestern China",2008,Microbiological Research,163,,651-662,
277,Wei et al,Invasive Robinia pseudoacacia in china is nodulated by Mesorhizobium and Sinorhizobium species that share similar nodulation genes with native American symbionts,2009,FEMS Microbial Ecology,68,,320-328,
278,Wei et al,Characterization of rhizobia isolated from legume species within the genera Astragalus and Lespedeza grown in the Loess Plateau of China and description of Rhizobium loessense sp. Nov.,2003,International Journal of Systematic and Evolutionary Microbiology,53,,1575-1583,
279,Wei et al,"Rhizobium indigoferae sp. Nov. and Sinorhizobium kummerowiae sp. Nov., respectively isolated from Indigofera spp. And Kummerowia stipulacea",2002,International Journal of Systematic and Evolutionary Microbiology,52,,2231-2239,
280,Wang et al,Diverse Mesorhizobium plurifarium populations native to Mexican soils,2003,Archives of Microbiology,180,,444-454,
281,Xu et al,"Rhizobium sphaerophysae sp.nov., a novel species isolated from root nodules of Sphaerophysa salsula in China",2011,Antonie van Leeuwenhoek,99,,845-854,
282,Xu et al,"Rhizobium gilianshanense sp. Nov., a novel species isolated from root nodule of Oxytropis ochrocephala Bunge in China",2013,Antonie van Leeuwenhoek,103,,559-565,
283,Xu et al,Genetic diversity of nodulating and non-nodulating rhizobia associated with wild soybean (Glycine sojaSieb. & Zucc.) in different ecoregions of China,2011,FEMS Microbiology Ecology,76,,439-450,
284,Yang et al,Genetic diversity and symbiotic evolution of rhizobia from root nodules of Coronilla varia,2013,Systematic and Applied Microbiology,36,,49-55,
285,Yao et al,"Rhizobia taibaishanense sp. Nov., isolated from a root nodule of Kummerowia striata",2012,International Journal of Systematic and Evolutionary Microbiology,62,,335-341,
286,Zhou et al,"Mesorhizobium sangii sp. Nov., isolated from the root nodules of Astragalus luteolus and Astragalus ernestii",2013,International Journal of Systematic and Evolutionary Microbiology,63,,2794-2799,
287,Zhou et al,"Mesorhizobium robiniae sp. Nov., isolated from root nodules of Robinia pseudoacacia",2010,International Journal of Systematic and Evolutionary Microbiology,60,,2552-2556,
288,Zahran et al,Polyphasic taxonomy of symbiotic rhizobia from wild leguminous plants growing in Egypt,2003,Folia Microbiology,48,4,510-520,
289,Weir et al,"Unexpectedly diverse Mesorhizobium strains and Rhizobium leguminosarum nodulate native legume genera of New Zealand, while introduced legume weeds are nodulated by Bradyrhizobium species",2004,Applied and Environmental Microbiology,70,10,5980-5987,
290,Yates et al,Root-nodule bacteria from indigenous legumes in the north-west of Western Australia and their interaction with exotic legumes,2004,Soil Biology and Biochemistry,36,,1319-1329,
291,Xu et al,Changes in non-symbiotic nitrogen-fixing bacteria inhabiting rhizosphere soils of an invasive plant Ageratina adenophora,2012,Applied Soil Ecology,54,,32-38,
292,Zhao et al,Diverse rhizobia associated with Sophora alopecuroides grown in different regions of Loess Plateau in China,2010,Systematic and Applied Microbiology,33,,468-477,
293,Zribi et al,Medicago ciliaris growing in Tunisian soils is preferentially nodulated by Sinorhizobium medicae,2007,Australian Journal of Soil Research,42,,473-477,
294,Zribi et al,Distribution and genetic diversity of rhizobia nodulating natural populations of Medicago truncatula in tunisian soils,2004,Soil Biology and Biochemistry,36,,903-908,
295,Willems et al,AFLP fingerprint analysis of Bradyrhizobium strains isolated from Faidherbia albida and Aeschynomene species,2000,Systematic and Applied Microbiology,23,,137-147,
296,Zhao et al,Diverse genomic species and evidences of symbiotic gene lateral transfer detected among the rhizobia associated with Astragalus species grown in the temperate regions of China,2008,FEMS microbiology Letters,286,,263-273,
297,Yan et al,Mesorhizobium spp. Are the main microsymbionts of Caragana spp. Grown in Liaoning province of China,2007,FEMS microbiology Letters,271,,265-273,
298,Yao et al,Characterization of rhizobia that nodulate legume species of the genus Lespedeza and description of Bradyrhizobium yuanmingense sp. Nov.,2002,International Journal of Systematic and Evolutionary Microbiology,52,,2219-2230,
299,Zurdo-Pineiro,Identification of fast-growing rhizobia nodulating tropical legumes from Puerto Rico as Rhizobium gallicum and Rhizobium tropici,2004,Systematic and Applied Microbiology,27,,469-477,
300,Zakhia et al,Characterisation of Wild Legume Nodulating Bacteria in the Infra-arid zone of Tunisia,2004,Systematic and Applied Microbiology,27,,380-395,
301,Zakhia et al,Diverse bacteria associated with root nodules of spontaneous legumes in Tunisia and first report for nifH-like gene within the genera Microbacterium and Starkeya,2006,Microbial Ecology,51,,375-393,
302,Banasiewics et al,Diversity and phylogenetic affinities of Bradyrhizobium isolates from Pampa and Atlantic Forest Biomes,2021,Systematic and Applied Microbiology,44,,126203,
303,Steencamp et al,Burkholderia kirstenboschensis sp. nov. nodulates papilionoid legumesindigenous to South Africa,2015,Systematic and Applied Microbiology,38,,545-554,
304,Eardly et al,"Biogeography of a Novel Ensifer meliloti
Clade Associated with the Australian
Legume Trigonella suavissima",2017,Applied and Environmental Microbiology,83,10,e03446-16,
305,Liu et al,Burkholderia sp. Induces functional nodules on the south african invasive legume Dipogon lignosus (Phaseoleae) in New Zealand Soils,2014,Microbial Ecology ,68,,542-555,
322,Chouhan et al,"Evolution of novel strains of Ensifer nodulating the
invasive legume Leucaena leucocephala (Lam.) de Wit
in different climatic regions of India through lateral
gene transfer",2022,FEMS Microbial Ecology,98,,19-Jan,"this might be considered an agricultural species - used for fuel, fiber, wood, and food; 222 strains cultured, but only 114 genetically fingerprinted"
323,Harrison et al,Geographically structured genetic variation in the Medicago lupulina–Ensifer mutualism,2017,Evolution,71,7,1787-1801,
324,Hsouna et al,"Genotypic and symbiotic diversity studies of rhizobia nodulating Acacia
saligna in Tunisia reveal two novel symbiovars within the Rhizobium
leguminosarum complex and Bradyrhizobium",2022,Systematic and Applied Microbiology,45,,126343,
325,Huang,Phylogenetic analyses of Bradyrhizobium symbionts associated withinvasive Crotalaria zanzibarica and its coexisting legumes in Taiwan,2018,Systematic and Applied Microbiology,41,,619-628,
326,Le Roux et al,"The structure of legume–rhizobium interaction networks
and their response to tree invasions",2016,AoB Plants,8,,plw038,
327,Li et al,Genetic diversity and community structure of rhizobia nodulatingSesbania cannabina in saline–alkaline soils,2016,Systematic and Applied Microbiology,39,,195-202,
328,Liu et al,"New Insight into the Evolution of Symbiotic Genes in Black
Locust-Associated Rhizobia",2019,Genome Biology and Evolution,11,7,1736-1750,
329,Lui et al,"Diversity and Geographic
Distribution of Microsymbionts
Associated With Invasive Mimosa
Species in Southern China",2020,Frontiers in Microbiology,11,,563389,
330,Wendlandt et al,"Decreased coevolutionary potential and
increased symbiont fecundity during the
biological invasion of a legume-rhizobium
mutualism",2021,Evolution,75,3,731-747,
321,Cheng et al,Diversity analysis of the rhizospheric and endophytic bacterial communities of Senecio vulgaris L. (Asteraceae) in an invasive range,2019,PeerJ,6,,e6162,
320,Chen et al,Wild peanut Arachis duranensis are nodulated by diverse and novel Bradyrhizobium species in acid soils,2014,Systematic and Applied Microbiology,37,,525-532,
319,Bromfield et al,"Description and complete genome sequences of Bradyrhizobium symbiodeficiens sp. nov., a non-symbiotic bacterium associated with legumes native to Canada",2020,International Journal of Systematic and Evolutionary Microbiology,70,,442-449,
318,Bromfield et al,Invasive Galega officinalis (Goat's rue) plants in Canada form a symbiotic association with strains of Neorhizobium galegae sv. officinalis originating from the Old World,2019,Ecology and Evolution,9,,6999-7004,
317,Birnham et al.,Effect of plant root symbionts on performance of native woody species in competition with an invasive grass in multispecies microcosms,2017,Ecology and Evolution,8,,8652-8664,This paper seems irrelevant
316,Beukes et al ,Both Alpha- and Beta-Rhizobia Occupy the Root Nodules of Vachellia karroo in South Africa ,2019,Frontiers in Microbiology,10,,1195,
315,Banasiewicz et al,Diversity and phylogenetic affinities of Bradyrhizobium isolates from Pampa and Atlantic Forest Biomes,2021,Systematic and Applied Microbiology,44,,126203,
307,Boakye et al,Characterization and diversity of rhizobia nodulating selected tree legumes in Ghana,2016,Symbiosis,69,,89-99,
308,Huang et al,"Phylogenetic Identification, Phenotypic Variations, and Symbiotic Characteristics of the Peculiar Rhizobium, Strain CzR2, Isolated from Crotalaria zanzibarica in Taiwan",2016,Microbes and Environment,31,4,410-417,
309,Keet et al,Legume–rhizobium symbiotic promiscuity and effectiveness do not affect plant invasiveness,2017,Annas of Botany,119,,1319-1331,
310,Melkonian et al,The geographical patterns of symbiont diversity in the invasive legume Mimosa pudica can be explained by the competitiveness of its symbionts and by the host genotype,2014,Environmental Microbiology,16,7,2099-2111,
311,Porter et al,Co-invading symbiotic mutualists of Medicago polymorpha retain high ancestral diversity and contain diverse accessory genomes,2017,FEMS Mircrobiology Ecology,94,,fix168,
312,Simonsen et al,Symbiosis limits establishment of legumes outside their native range at a global scale,2017,Nature communications,8,,14790,This is a review and I think we are not including reviews?
313,,,,,,,,"I only had six papers selected before, so I don't have 313"
306,La Pierre et al,"Invasive legumes can associate with many mutualists of native legumes, but usually do not",2017,Ecology and Evolution,7,20,8599-8611,
314,Willems et al,"Genome sequence of Burkholderia mimosarum strain LMG 23256T , a Mimosa pigra microsymbiont from Anso, Taiwan",2014,Standards in Genomic Sciences,9,,484-494,This paper seems a little out of context-check again