genus,species,genus_species,cultivation status,
Lespedeza,procumbens,Lespedeza_procumbens,not cultivated,
Lespedeza,sp,Lespedeza_sp,,
Lespedeza,sp,Lespedeza_sp.,,
Lespedeza,stipulacea,Lespedeza_stipulacea,multiple,
Lespedeza,striata,Lespedeza_striata,rangeland/pastureland,
Lespedeza,tomentosa,Lespedeza_tomentosa,not cultivated,
Lespedeza,virgata,Lespedeza_virgata,not cultivated,
Lessertia,annularis,Lessertia_annularis,not cultivated,
Lessertia,capitata,Lessertia_capitata,not cultivated,
Lessertia,diffusa,Lessertia_diffusa,not cultivated,
Lessertia,excisa,Lessertia_excisa,not cultivated,
Lessertia,frutescens,Lessertia_frutescens,not cultivated,
Lessertia,herbacea,Lessertia_herbacea,not cultivated,
Lessertia,incana,Lessertia_incana,not cultivated,
Lessertia,microphylla,Lessertia_microphylla,medicinal,
Lessertia,pauciflora,Lessertia_pauciflora,not cultivated,
Lessertia,sp,Lessertia_sp,,
Leucaena,leucocephala,Leucaena_leucocephala,agroforestry,
Lonchocarpus,atropurpureus,Lonchocarpus_atropurpureus,not cultivated,
Lonchocarpus,nitidus,Lonchocarpus_nitidus,not cultivated,
Lotononis,bainesii,Lotononis_bainesii,rangeland/pastureland,
Lotus,argenteus,Lotus_argenteus,not cultivated,
Lotus,arinagensis,Lotus_arinagensis,not cultivated,
Lotus,berthelotii,Lotus_berthelotii,ornamental,
Lotus,callis-viridis,Lotus_callis-viridis,not cultivated,
Lotus,campylocladus,Lotus_campylocladus,not cultivated,
Lotus,corniculatus,Lotus_corniculatus,rangeland/pastureland,
Lotus,creticus,Lotus_creticus,anti-errosion ,
Lotus,cruentus,Lotus_cruentus,not cultivated,
Lotus,frondosus,Lotus_frondosus,not cultivated,
Lotus,halophilus,Lotus_halophilus,not cultivated,
Lotus,kunkelii,Lotus_kunkelii,not cultivated,
Lotus,lancerottensis,Lotus_lancerottensis,not cultivated,
Lotus,maculatus,Lotus_maculatus,ornamental,
Lotus,oroboides,Lotus_oroboides,not cultivated,
Lotus,pedunculatus,Lotus_pedunculatus,not cultivated,
Lotus,pyranthus,Lotus_pyranthus,ornamental,
Lotus,roudairei,Lotus_roudairei,not cultivated,
Lotus,sessilifolius,Lotus_sessilifolius,not cultivated,
Lotus,spp,Lotus_spp,,
Lotus,subbiflorus,Lotus_subbiflorus,not cultivated,
Lotus,tenuis,Lotus_tenuis,not cultivated,
Lotus,uliginosus,Lotus_uliginosus,not cultivated,
Lupinus,albescens,Lupinus_albescens,rangeland/pastureland,
Lupinus,albus,Lupinus_albus,row crop,
Lupinus,angustifolius,Lupinus_angustifolius,rangeland/pastureland,
Lupinus,bandelierae,Lupinus_bandelierae,not cultivated,
Lupinus,bracteolaris,Lupinus_bracteolaris,not cultivated,
Lupinus,breviscapus,Lupinus_breviscapus,not cultivated,
Lupinus,campestris,Lupinus_campestris,not cultivated,
Lupinus,cosentinii,Lupinus_cosentinii,rangeland/pastureland,
Lupinus,hispanicus,Lupinus_hispanicus,not cultivated,
Lupinus,honoratus,Lupinus_honoratus,not cultivated,
Lupinus,luteus,Lupinus_luteus,row crop,
Lupinus,mariae-josephae,Lupinus_mariae-josephae,not cultivated,
Lupinus,micranthus,Lupinus_micranthus,not cultivated,
Lupinus,misticola,Lupinus_misticola,not cultivated,
Lupinus,mutabilis,Lupinus_mutabilis,row crop,
Lupinus,nootkatensis,Lupinus_nootkatensis,anti-errosion ,
Lupinus,paraguariensis,Lupinus_paraguariensis,not cultivated,
Lupinus,paranensis,Lupinus_paranensis,not cultivated,
Lupinus,perennis,Lupinus_perennis,not cultivated,
Lupinus,polyphyllus,Lupinus_polyphyllus,ornamental,
Lupinus,pycnostachys,Lupinus_pycnostachys,not cultivated,
Lupinus,rubriflorus,Lupinus_rubriflorus,not cultivated,
Lupinus,sp,Lupinus_sp,,
Lupinus,sp.,Lupinus_sp.,,
Lupinus,texensis,Lupinus_texensis,not cultivated,
Lupinus,tominensis,Lupinus_tominensis,not cultivated,
Lupinus,uleanus,Lupinus_uleanus,not cultivated,
Maackia,amurensis,Maackia_amurensis,not cultivated,
Machaerium,lunatum,Machaerium_lunatum,medicinal,
Machaerium,milleflorum,Machaerium_milleflorum,not cultivated,
Machaerium,milliflorum,Machaerium_milliflorum,not cultivated,
Macroptilium,atropurpureum,Macroptilium_atropurpureum,multiple,
Macroptilium,gibbosifolium,Macroptilium_gibbosifolium,not cultivated,
Macrotyloma,uniflorum,Macrotyloma_uniflorum,row crop,
Medicago,arabica,Medicago_arabica,not cultivated,
Medicago,arborea,Medicago_arborea,ornamental,
Medicago,archiducis-nicolai,Medicago_archiducis-nicolai,not cultivated,
Medicago,ciliaris,Medicago_ciliaris,not cultivated,
Medicago,falcata,Medicago_falcata,rangeland/pastureland,
Medicago,laciniata,Medicago_laciniata,not cultivated,
Medicago,lupulina,Medicago_lupulina,rangeland/pastureland,
Medicago,marina,Medicago_marina,not cultivated,
Medicago,minima,Medicago_minima,not cultivated,
Medicago,platycarpes,Medicago_platycarpes,,
Medicago,polymorpha,Medicago_polymorpha,,
Medicago,sativa,Medicago_sativa,,
Medicago,scutellata,Medicago_scutellata,,
Medicago,sp,Medicago_sp,,
Medicago,sphaerocarpa,Medicago_sphaerocarpa,,
Medicago,truncatula,Medicago_truncatula,,
Melilotus,albus,Melilotus_albus,,
Melilotus,dentatus,Melilotus_dentatus,,
Melilotus,indicus,Melilotus_indicus,,
Melilotus,officinalis,Melilotus_officinalis,,
Melilotus,parviflorus,Melilotus_parviflorus,,
Microlobius,foetidus,Microlobius_foetidus,,
Millettia,leucantha,Millettia_leucantha,,
Mimosa,acutisipula,Mimosa_acutisipula,,
Mimosa,affinis,Mimosa_affinis,,
Mimosa,asperata,Mimosa_asperata,,
Mimosa,bimucronata,Mimosa_bimucronata,,
Mimosa,caesalpiniaefolia,Mimosa_caesalpiniaefolia,,
Mimosa,candollei,Mimosa_candollei,,
Mimosa,casta,Mimosa_casta,,
Mimosa,ceratonia,Mimosa_ceratonia,,
Mimosa,cordistipula,Mimosa_cordistipula,,
Mimosa,diplotricha,Mimosa_diplotricha,,
Mimosa,flocculosa,Mimosa_flocculosa,,
Mimosa,hamata,Mimosa_hamata,,
Mimosa,himalayana,Mimosa_himalayana,,
Mimosa,invisa,Mimosa_invisa,,
Mimosa,misera,Mimosa_misera,,
Mimosa,paraibana,Mimosa_paraibana,,
Mimosa,pigra,Mimosa_pigra,,
Mimosa,pudica,Mimosa_pudica,,
Mimosa,scabrella,Mimosa_scabrella,,
Mimosa,spp,Mimosa_spp,,
Mimosa,tenuiflora,Mimosa_tenuiflora,,
Mirbelia,oxylobioides,Mirbelia_oxylobioides,,
Mirbelia,rubiifolia,Mirbelia_rubiifolia,,
Moghania,faginea,Moghania_faginea,,
Montigena,novae-zelandiae,Montigena_novae-zelandiae,,
Mucuna,aterrima,Mucuna_aterrima,,
Neptunia,gracilis,Neptunia_gracilis,,
Neptunia,natans,Neptunia_natans,,
Neptunia,oleracea,Neptunia_oleracea,,
Neptunia,plena,Neptunia_plena,,
Onobrychis,arenaria,Onobrychis_arenaria,,
Onobrychis,transcaucasica,Onobrychis_transcaucasica,,
Onobrychis,viciifolia,Onobrychis_viciifolia,,
Ononis,natrix,Ononis_natrix,,
Ononis,repens,Ononis_repens,,
Ononis,spinosa,Ononis_spinosa,,
Ononis,tridentata,Ononis_tridentata,,
Ononis,vaginalis,Ononis_vaginalis,,
Ornithopus,compressus,Ornithopus_compressus,,
Ornithopus,comressus,Ornithopus_comressus,,
Ornithopus,perpusillus,Ornithopus_perpusillus,,
Ornithopus,sativus,Ornithopus_sativus,,
Ornithopus,sp.,Ornithopus_sp.,,
Orobus,luteus,Orobus_luteus,,
Oxylobium,ellipticum,Oxylobium_ellipticum,,
Oxytropis,arctica,Oxytropis_arctica,,
Oxytropis,arctobia,Oxytropis_arctobia,,
Oxytropis,bicolor,Oxytropis_bicolor,,
Oxytropis,cachemiriana,Oxytropis_cachemiriana,,
Oxytropis,deflexa,Oxytropis_deflexa,,
Oxytropis,glabra,Oxytropis_glabra,,
Oxytropis,kansuensis,Oxytropis_kansuensis,,
Oxytropis,maydelliana,Oxytropis_maydelliana,,
Oxytropis,meinshausenii,Oxytropis_meinshausenii,,
Oxytropis,monticola,Oxytropis_monticola,,
Oxytropis,myriophylla,Oxytropis_myriophylla,,
Oxytropis,ochrocephala,Oxytropis_ochrocephala,,
Oxytropis,ochrocephala Bunge,Oxytropis_ochrocephala Bunge,,
Oxytropis,psammocharis,Oxytropis_psammocharis,,
Oxytropis,riparia,Oxytropis_riparia,,
Oxytropis,sp,Oxytropis_sp,,
Oxytropis,splendens,Oxytropis_splendens,,
Oxytropis,subpodoloba,Oxytropis_subpodoloba,,
Parapiptadenia,pterosperma,Parapiptadenia_pterosperma,,
Parapiptadenia,rigida,Parapiptadenia_rigida,,
Parapiptedenia,rigida,Parapiptedenia_rigida,,
Peltophorum,dubium,Peltophorum_dubium,,
Phaseolus,parvulus,Phaseolus_parvulus,,
Phaseolus,pauciflorus,Phaseolus_pauciflorus,,
Phaseolus,pedicellatus,Phaseolus_pedicellatus,,
Phaseolus,vulgaris,Phaseolus_vulgaris,,
Phyllota,phylicoides,Phyllota_phylicoides,not cultivated,
Piptadenia,adiantoides,Piptadenia_adiantoides,not cultivated,
Piptadenia,flava,Piptadenia_flava,not cultivated,
Piptadenia,gonoacantha,Piptadenia_gonoacantha,agroforestry,
Piptadenia,paniculata,Piptadenia_paniculata,not cultivated,
Piptadenia,trisperma,Piptadenia_trisperma,not cultivated,
Piptadenia,viridiflora,Piptadenia_viridiflora,agroforestry,
Pithecllobium,hymenaeafolium,Pithecllobium_hymenaeafolium,not cultivated,
Platylobium,formosum,Platylobium_formosum,not cultivated,
Platymiscium,pinnatum,Platymiscium_pinnatum,multiple,
Podalyria,calyptrata,Podalyria_calyptrata,not cultivated,
Podolobium,alpestre,Podolobium_alpestre,not cultivated,
Podolobium,ilicifolium,Podolobium_ilicifolium,not cultivated,
Poitea,punicea,Poitea_punicea,not cultivated,
Prosopis,alba,Prosopis_alba,agroforestry,multiple
Prosopis,chilensis,Prosopis_chilensis,multiple,
Prosopis,farcta,Prosopis_farcta,medicinal,
Prosopis,juliflora,Prosopis_juliflora,multiple,
Prosopis,nigra,Prosopis_nigra,agroforestry,multiple
Pseudopiptadenia,contorta,Pseudopiptadenia_contorta,not cultivated,
Psoralea,aculeata,Psoralea_aculeata,not cultivated,
Psoralea,aphylla,Psoralea_aphylla,not cultivated,
Psoralea,asarina,Psoralea_asarina,not cultivated,
Psoralea,laxa,Psoralea_laxa,not cultivated,
Psoralea,monophylla,Psoralea_monophylla,not cultivated,
Psoralea,pinnata,Psoralea_pinnata,not cultivated,
Psoralea,repens,Psoralea_repens,not cultivated,
Psoralea,restioides,Psoralea_restioides,not cultivated,
Pterocarpus,erinaceus,Pterocarpus_erinaceus,multiple,
Pterocarpus,indicus,Pterocarpus_indicus,agroforestry,multiple
Pterocarpus,lucens,Pterocarpus_lucens,multiple,
Pterocarpus,officinalis,Pterocarpus_officinalis,multiple,
Pueraria,mirifica,Pueraria_mirifica,medicinal,
Pueraria,thunbergiana,Pueraria_thunbergiana,not cultivated,
Pultenaea,capitellata,Pultenaea_capitellata,not cultivated,
Pultenaea,daphnoides,Pultenaea_daphnoides,ornamental,
Pultenaea,procumbens,Pultenaea_procumbens,not cultivated,
Pultenaea,scabra,Pultenaea_scabra,not cultivated,
Rauwolfia,spp,Rauwolfia_spp,,
Retama,raetam,Retama_raetam,not cultivated,
Retama,sphaerocarpa,Retama_sphaerocarpa,multiple,
Rhynchosia,ferulifolia,Rhynchosia_ferulifolia,not cultivated,
Rhynchosia,minima,Rhynchosia_minima,rangeland/pastureland,
Rhynchosia,pyramidalis,Rhynchosia_pyramidalis,not cultivated,
Robinia,pseudoacacia,Robinia_pseudoacacia,multiple,
Robinia,pseudoacacia,Robinia_pseudoacacia L.,multiple,
Sarothamnus,scoparius,Sarothamnus_scoparius,ornamental,synonym of Cytisus scoparius
Securigera,varia,Securigera_varia,anti-errosion ,synonym for coronilla varia
Senna,obtusifolia,Senna_obtusifolia,medicinal,
Sesbania,aegyptiaca,Sesbania_aegyptiaca,rangeland/pastureland,seems to be a synonym with Sesbania sesban
Sesbania,cannabina,Sesbania_cannabina,not cultivated,
Sesbania,herbacea,Sesbania_herbacea,not cultivated,
Sesbania,punicea,Sesbania_punicea,ornamental,
Sesbania,rostrata,Sesbania_rostrata,multiple,
Sesbania,senegal,Sesbania_senegal,not cultivated,
Sesbania,sericea,Sesbania_sericea,not cultivated,
Sesbania,sesban,Sesbania_sesban,rangeland/pastureland,
Sesbania,sp,Sesbania_sp,,
Sesbania,virgata,Sesbania_virgata,not cultivated,
Sophora,alopecuriodes,Sophora_alopecuriodes,medicinal,
Sophora,alopecuroides,Sophora_alopecuroides,medicinal,
Sophora,chathamica,Sophora_chathamica,not cultivated,
Sophora,microphylla,Sophora_microphylla,not cultivated,
Sophora,tetraptera,Sophora_tetraptera,not cultivated,
Sophora,tomentosa,Sophora_tomentosa,ornamental,
Sophora,viciifolia,Sophora_viciifolia,ornamental,
Spartium,junceum,Spartium_junceum,ornamental,
Spartocytisus,supranubius,Spartocytisus_supranubius,not cultivated,
Sphaerophysa,salsula,Sphaerophysa_salsula,not cultivated,
Spirotropis,longifolia,Spirotropis_longifolia,not cultivated,
Stylosanthes, viscosa,Stylosanthes_ viscosa,not cultivated,
Swainsona,formosa,Swainsona_formosa,not cultivated,
Swainsona,leeana,Swainsona_leeana,not cultivated,
Swainsona,pterostylis,Swainsona_pterostylis,not cultivated,
Swainsona,salsula,Swainsona_salsula,not cultivated,
Tachigali,versicolor,Tachigali_versicolor,agroforestry,
Teline ,canariensis,Teline _canariensis,not cultivated,
Teline ,stenopetala,Teline _stenopetala,not cultivated,
Tephrosia,bracteolata,Tephrosia_bracteolata,not cultivated,
Tephrosia,garderi,Tephrosia_garderi,not cultivated,
Tephrosia,leptoclada,Tephrosia_leptoclada,not cultivated,
Tephrosia,purpea,Tephrosia_purpea,row crop,
Tephrosia,remotiflora,Tephrosia_remotiflora,not cultivated,
Tephrosia,sp,Tephrosia_sp,,
Tephrosia,villosa,Tephrosia_villosa,not cultivated,
Tetrapleura,tetraptera,Tetrapleura_tetraptera,agroforestry,
Thermopsis,lanceolata,Thermopsis_lanceolata,not cultivated,
Thermopsis,lupinoides,Thermopsis_lupinoides,ornamental,
Trifolium,arvense,Trifolium_arvense,rangeland/pastureland,
Trifolium,campestre,Trifolium_campestre,rangeland/pastureland,
Trifolium,dubium,Trifolium_dubium,not cultivated,
Trifolium,fragiferum,Trifolium_fragiferum,row crop,
Trifolium,hybridum,Trifolium_hybridum,multiple,
Trifolium,pratense,Trifolium_pratense,multiple,
Trifolium,repens,Trifolium_repens,rangeland/pastureland,
Trifolium,resupinatum,Trifolium_resupinatum,rangeland/pastureland,
Trifolium,subterraneum,Trifolium_subterraneum,rangeland/pastureland,
Trigonella,foenum-graecum,Trigonella_foenum-graecum,row crop,
Trigonella,maritima,Trigonella_maritima,not cultivated,
Trigonella,monspelliaca,Trigonella_monspelliaca,not cultivated,
Trigonella,suavissima,Trigonella_suavissima,row crop,
Ulex,europaeus,Ulex_europaeus,multiple,
Uraria,lagopoides,Uraria_lagopoides,not cultivated,
Vicia,amoena,Vicia_amoena,not cultivated,
Vicia,angustifolia,Vicia_angustifolia,rangeland/pastureland,
Vicia,bungei,Vicia_bungei,not cultivated,
Vicia,cracca,Vicia_cracca,rangeland/pastureland,
Vicia,faba,Vicia_faba,row crop,
Vicia,hirsuta,Vicia_hirsuta,row crop,
Vicia,lathyroides,Vicia_lathyroides,not cultivated,
Vicia,sativa,Vicia_sativa,rangeland/pastureland,
Vicia,sepium,Vicia_sepium,rangeland/pastureland,
Vicia,spp,Vicia_spp,,
Vicia,tetrasperma,Vicia_tetrasperma,not cultivated,
Vicia,tibetica,Vicia_tibetica,not cultivated,
Vicia,villosa,Vicia_villosa,multiple,
Vigna,lanceolata,Vigna_lanceolata,row crop,
Vigna,radiata,Vigna_radiata,row crop,
Vigna,trilobata,Vigna_trilobata,rangeland/pastureland,
Vigna,unguiculata,Vigna_unguiculata,row crop,
Virgilia,oroboides,Virgilia_oroboides,ornamental,
Wallaceodendron,celebicum,Wallaceodendron_celebicum,multiple,
Wisteria,floribunda,Wisteria_floribunda,ornamental,
Wisteria,sinensis,Wisteria_sinensis,ornamental,
Xylia,xylocarpa,Xylia_xylocarpa,not cultivated,
Zornia,glochidiata,Zornia_glochidiata,rangeland/pastureland,
Zygophyllum,dumosum,Zygophyllum_dumosum,not cultivated,
Acacia,cochiacantha,Acacia_cochiacantha,,
Acacia,mangium x auriculiformis,Acacia_mangium_x_auriculiformis,,
Acacia,nilotica adansonii,Acacia_nilotica_adansonii,,
Acacia,nilotica tomentosa,Acacia_nilotica_tomentosa,,
Acacia,tortillis spp. Heteracantha,Acacia_tortillis_spp._heteracantha,,
Alhagi,maurorum,Alhagi_maurorum,,
Alhagi,toum,Alhagi_toum,,
Alysicarpus,ovalifolius,Alysicarpus_ovalifolius,,
Arachis,duranensis,Arachis_duranensis,,
Astragalus,glombiformis,Astragalus_glombiformis,,
Astragalus,melitoides,Astragalus_melitoides,,
Astragalus,membraneceus,Astragalus_membraneceus,,
Astragalus,poycladus,Astragalus_poycladus,,
Astragalus,spp,Astragalus_spp,,
Calycotome,villosa,Calycotome_villosa,,
Camptotheca,acuminata Decne,Camptotheca_acuminata_Decne,,
Caragana,sp.,Caragana_sp.,,
Carmichaelia,odorata,Carmichaelia_odorata,,
Carmichaelinae,australis,Carmichaelinae_australis,,
Carmichaelinae,monroi,Carmichaelinae_monroi,,
Carmichaelinae,nana,Carmichaelinae_nana,,
Carmichaelinae,puniceus,Carmichaelinae_puniceus,,
Catenaria,caudatum,Catenaria_caudatum,,
cicer,arietinum,cicer_arietinum,,
Colutea,nepalensis,Colutea_nepalensis,,
Crotalaria,hyssopifolia,Crotalaria_hyssopifolia,,
Crotalaria,perrotteti,Crotalaria_perrotteti,,
Cytisus,laburnuum,Cytisus_laburnuum,,
Gueldenstaedtia,verna,Gueldenstaedtia_verna,,
Halimodendron,holodendron,Halimodendron_holodendron,,
Hedysarum,confertum,Hedysarum_confertum,,
Hedysarum,coronarium L. Leguminosae,Hedysarum_coronarium_L._Leguminosae,,
Hedysarum,mogholicus,Hedysarum_mogholicus,,
Indigofera,amorphoides,Indigofera_amorphoides,,
Indigofera,senegalensis,Indigofera_senegalensis,,
Isotropis,atropurpurea,Isotropis_atropurpurea,,
Lathyrus,pratense,Lathyrus_pratense,,
Lespedeza,bicolar for. Alba,Lespedeza_bicolar_for._alba,,
Lespedeza,maximowiezzi,Lespedeza_maximowiezzi,,
Lespedeza,maximowiezzi var. tomentella,Lespedeza_maximowiezzi_var._tomentella,,
Lespedeza,sp.,Lespedeza_sp.,,
Lotus,australis,Lotus_australis,,
Lotus,cornuculatus,Lotus_cornuculatus,,
Lotus,sessilifoius,Lotus_sessilifoius,,
Lupinus,brevicapus,Lupinus_brevicapus,,
Lupinus,mariae-josephi,Lupinus_mariae-josephi,,
Melilotus,alba,Melilotus_alba,,
Melilotus,alles,Melilotus_alles,,
Mimosa,acutistipula,Mimosa_acutistipula,,
Muelleranthus,trifoliolatus,Muelleranthus_trifoliolatus,,
Onobrychis,spp,Onobrychis_spp,,
Onobrychis,transcaucasia,Onobrychis_transcaucasia,,
Oxytropis,ochrocephala Bunge,Oxytropis_ochrocephala_Bunge,,
Oxytropis,spp,Oxytropis_spp,,
phaseolus,vulgaris,phaseolus_vulgaris,,
Pithecellobium,hymenaeafolium,Pithecellobium_hymenaeafolium,,
Platylobium,formosun,Platylobium_formosun,,
Pultenaea,daphniodes,Pultenaea_daphniodes,,
Robinia,speudoacacia L.,Robinia_speudoacacia_L.,,
Sesbania,sp.,Sesbania_sp.,,
Stylosanthes,viscosab,Stylosanthes_viscosab,,
Swainsona,calcicola,Swainsona_calcicola,,
Swainsona,sp,Swainsona_sp,,
Swainsonia,salsula,Swainsonia_salsula,,
Tephrosia,purpurea,Tephrosia_purpurea,,
Tephrosia,sp.,Tephrosia_sp.,,
Tephrosia,virginiana,Tephrosia_virginiana,,
Trigonella,monspeliaca,Trigonella_monspeliaca,,
Ulex,europeaus,Ulex_europeaus,,
Uraria,lagopodoides,Uraria_lagopodoides,,
Vigna,mungo,Vigna_mungo,,
